State,District,Year,temp,Season,Crop,Area ,Production,Rainfall,WindSpeed,Humidity
Tamil Nadu,MADURAI,1997,26.615,Kharif     ,Banana,1769,54752,0,20,29
Tamil Nadu,MADURAI,1997,26.615,Kharif     ,Horse-gram,117,60,3.6,17,36
Tamil Nadu,MADURAI,1997,26.615,Kharif     ,Onion,1109,7011,3.6,6,69
Tamil Nadu,MADURAI,1997,26.615,Kharif     ,Sesamum,2403,550,39.8,24,56
Tamil Nadu,MADURAI,1997,26.615,Kharif     ,Small millets,1105,1150,2.8,28,49
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Arhar/Tur,1498,750,0,24,57
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Bajra,1020,1290,0.2,26,47
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Banana,2077,139430,0,24,57
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Cashewnut,232,140,0,17,48
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Coriander,253,120,16.2,6,32
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Cotton(lint),13061,8580,0,9,34
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Dry chillies,505,370,0.2,15,35
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Gram,19,10,0,7,29
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Groundnut,11983,16580,0,20,20
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Jowar,9626,8860,0,20,16
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Maize,306,620,0,9,22
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Moong(Green Gram),5158,1610,0,19,23
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Pulses total,10273,3400,1.2,11,26
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Ragi,298,720,0.6,17,25
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Rice,83061,314380,0,13,27
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Small millets,720,20,0,31,26
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Sugarcane,8108,18223000,0.4,11,72
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Sunflower,967,860,25.8,13,79
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Sweet potato,93,1350,0.4,9,57
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Tapioca,56,2100,0,15,31
Tamil Nadu,MADURAI,1997,27.077,Whole Year ,Total foodgrain,109708,332710,0,22,48
